TM14R,20,-40,10,0,-37,1960,-400,397,596,
TM14R,20,-40,10,0,-33,1956,-400,397,595,
TM14R,20,-40,10,0,-36,1954,-400,397,595,
TM14R,20,-40,10,0,-34,1960,-400,397,596,
TM14R,20,-40,10,0,-40,1956,-400,396,595,
TM14R,20,-40,10,0,-40,1946,-400,396,594,
TM14R,20,-40,10,0,-36,1944,-400,397,594,
TM14R,20,-40,10,0,-34,1960,-400,397,596,
TM14R,20,-40,10,0,-40,1965,-400,396,596,
TM14R,20,-40,10,0,-40,1955,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1957,-400,396,595,
TM14R,20,-40,10,0,-40,1953,-400,396,595,
TM14R,20,-40,10,0,-40,1957,-400,396,595,
TM14R,20,-40,10,-3,-38,1950,-400,397,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,2,0,-40,1958,-400,396,595,
TM14R,20,-40,8,0,-40,1952,-400,396,595,
TM14R,20,-40,10,0,-40,1958,-400,396,595,
TM14R,20,-40,1,0,-40,1951,-400,396,595,
TM14R,20,-40,9,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1959,-400,396,595,
TM14R,20,-40,10,0,-40,1951,-400,396,595,
TM14R,20,-40,10,0,-40,1959,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1960,-400,396,596,
TM14R,20,-40,10,0,-30,1950,-400,397,595,
TM14R,20,-40,10,0,-40,1959,-400,396,595,
TM14R,20,-40,10,0,-39,1950,-400,397,595,
TM14R,20,-40,10,-25,-29,1950,-402,398,595,
TM14R,20,-40,10,-9,-22,1951,-400,398,595,
TM14R,20,-40,10,1,-40,1959,-400,396,595,
TM14R,20,-40,10,9,-40,1951,-400,396,595,
TM14R,20,-40,10,0,-40,1958,-400,396,595,
TM14R,20,-40,10,0,-40,1958,-400,396,595,
TM14R,20,-40,10,0,-40,1952,-400,396,595,
TM14R,20,-40,10,0,-40,1957,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,7,0,-40,1956,-400,396,595,
TM14R,20,-40,3,0,-40,1967,-400,396,596,
TM14R,20,-40,10,0,-40,1957,-400,396,595,
TM14R,20,-40,10,0,-43,1962,-400,396,596,
TM14R,20,-40,10,0,-46,1972,-400,396,597,
TM14R,20,-40,10,0,-36,1956,-400,397,595,
TM14R,20,-40,10,0,-34,1950,-400,397,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,0,-40,1955,-400,396,595,
TM14R,20,-40,10,0,-40,1955,-400,396,595,
TM14R,20,-40,10,0,-40,1955,-400,396,595,
TM14R,20,-40,10,0,-40,1954,-400,396,595,
TM14R,20,-40,10,0,-40,1950,-400,396,595,
TM14R,20,-40,10,-5,-34,1950,-400,397,595,
TM14R,20,-40,10,-4,-36,1956,-400,397,595,
TM14R,20,-40,10,-6,-44,1960,-400,396,596,
TM14R,20,-40,10,-4,-40,1960,-400,396,596,
